Issue Date;Invoice;Boarding Location;Seller;PO;Operation;Customer;CNPJ/CPF;Product;Code;Qty;Tax (IPI);Net Unit Value.;Gross Unit Value.;Total without tax;Total with tax;Freight;Discount Amount;Status;Delivery Date;Notes;Cliente;Contrato
06/01/2026;837;CURITIBA;Kelly Li;LIVDJOI1712102;RESALE;JOINING COMERCIO ELETRO-ELETRICOS LTDA;03.317.342/0001-28;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT3-15KD1R11008;GT3-15KD1R11008;10;9,75%;1616,401;1774,000098;16164,01;17740,00098;;;Current;06/01/2026;;;
06/01/2026;837;CURITIBA;Kelly Li;LIVDJOI1712102;RESALE;JOINING COMERCIO ELETRO-ELETRICOS LTDA;03.317.342/0001-28;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT3-20KD1R11008;GT3-20KD1R11008;10;9,75%;1756,72;1928,0002;17567,2;19280,002;;;Current;06/01/2026;;;
06/01/2026;837;CURITIBA;Kelly Li;LIVDJOI1712102;RESALE;JOINING COMERCIO ELETRO-ELETRICOS LTDA;03.317.342/0001-28;INVERSORES PARA SISTEMAS FOTOVOLTAICOS ON-GRID GT3 - 25KD1R11008;GT3-25KD1R11008;10;9,75%;2178,588;2391,00033;21785,88;23910,0033;;;Current;06/01/2026;;;
06/01/2026;837;CURITIBA;Kelly Li;LIVDJOI1712102;RESALE;JOINING COMERCIO ELETRO-ELETRICOS LTDA;03.317.342/0001-28;INVERSOR TRIFASICO 380V ON-GRID GT3-30KT1 AFCI.;GT3-30KT1R11002;10;9,75%;2919,362;3203,999795;29193,62;32039,99795;;;Current;06/01/2026;;;
06/01/2026;837;CURITIBA;Kelly Li;LIVDJOI1712102;RESALE;JOINING COMERCIO ELETRO-ELETRICOS LTDA;03.317.342/0001-28;INVERSOR ON-GRID TRIFASICO 15KW 220V 2 MPPT AFCI - GT3-15KDL1-2;GT3-15KDL1R11002;10;9,75%;2749,886;3017,999885;27498,86;30179,99885;;;Current;06/01/2026;;;
07/01/2026;841;CURITIBA;Celso Fylyk;LIVMPOW0601511;RESALE;POWERCOM BRASIL GERADORES LTDA;09.330.128/0001-98;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;1;5,00%;67619,05;71000,0025;67619,05;71000,0025;;;Current;20/01/2026;;;
14/01/2026;842;CURITIBA;Anna Julia;LIVMFUN0701643;RESALE;FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE PAPANDUVA;11.310.394/0001-09;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;1;9,75%;4464,69;4899,997275;4464,69;4899,997275;;;Current;In Transit;;CINCATARINA;1341791396
14/01/2026;843;CURITIBA;Anna Julia;LIVMMUN0701003;RESALE;MUNICIPIO DE IMBITUBA;82.909.409/0001-90;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;2;9,75%;4464,69;4899,997275;8929,38;9799,99455;;;Current;In Transit;;CINCATARINA;1341791396
14/01/2026;844;CURITIBA;Anna Julia;LIVMMUN0701622;RESALE;MUNICIPIO DE ITAPOA;81.140.303/0001-01;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;1;9,75%;4464,69;4899,997275;4464,69;4899,997275;;;Current;In Transit;;CINCATARINA;1341791396
14/01/2026;845;CURITIBA;Anna Julia;LIVMMUN0701843;RESALE;ITAPOA - CAMARA MUNICIPAL DE VEREADORES;00.484.829/0001-07;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;1;9,75%;4464,69;4899,997275;4464,69;4899,997275;;;Current;In Transit;;CINCATARINA;1341791396
